OBJECTID,UR2022_V1_00,UR2022_V1_00_NAME,UR2022_V1_00_NAME_ASCII,IUR2022_V1_00,IUR2022_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
636,2247,Stirling,Stirling,21,Rural settlement,0.99583027,0.99583027,4642.064721,995811.3785
637,2248,Kaitangata,Kaitangata,21,Rural settlement,2.53782316,2.53782316,10274.70433,2537767.169
638,2249,Taieri Mouth,Taieri Mouth,21,Rural settlement,3.24628206,3.24628206,13815.53596,3246873.454
639,2250,Owaka,Owaka,21,Rural settlement,0.75967076,0.75967076,4513.856995,759727.6229
640,2251,Kaka Point,Kaka Point,21,Rural settlement,0.36095518,0.36095518,2922.724584,360922.342
641,2253,Pounawea,Pounawea,21,Rural settlement,0.37176076,0.37176076,3066.506232,371791.5967
642,2254,Inland water Southland District,Inland water Southland District,31,Inland water,0,651.281644,836878.2783,651281692.2
643,2255,Te Ānau,Te Anau,14,Small urban area,5.57469753,5.57469753,12347.33394,5574305.889
644,2256,Manapōuri,Manapouri,21,Rural settlement,1.36370999,1.36370999,8079.803842,1363639.654
645,2257,Other rural Southland District,Other rural Southland District,22,Rural other,29505.15293,29505.15293,4973973.454,29505143062
646,2258,Mossburn,Mossburn,21,Rural settlement,1.33515716,1.33515716,6632.875674,1334864.069
647,2259,Ōhai,Ohai,21,Rural settlement,1.10058557,1.10058557,8403.388406,1100313.084
648,2260,Tuatapere,Tuatapere,21,Rural settlement,1.99566197,1.99566197,12392.4453,1996165.605
649,2261,Nightcaps,Nightcaps,21,Rural settlement,3.19009905,3.19009905,9937.943354,3189947.765
650,2262,Lumsden,Lumsden,21,Rural settlement,3.63289578,3.63289578,8845.200505,3632849.413
651,2263,Ōtautau,Otautau,21,Rural settlement,2.60004093,2.60004093,9571.565409,2600223.823
652,2264,Balfour,Balfour,21,Rural settlement,0.48461308,0.48461308,4344.309621,484681.8676
653,2265,Waikaia,Waikaia,21,Rural settlement,1.25682117,1.25682117,4903.003778,1256977.96
654,2266,Winton,Winton,14,Small urban area,3.07718766,3.07718766,10101.03179,3076979.505
655,2267,Riversdale,Riversdale,21,Rural settlement,1.689684,1.689684,7727.11782,1689667.822
656,2268,Riverton,Riverton,14,Small urban area,8.74470214,8.74470214,22302.86735,8744595.339
657,2269,Wallacetown,Wallacetown,21,Rural settlement,0.86953161,0.86953161,6307.416541,869700.8276
658,2270,Woodlands,Woodlands,21,Rural settlement,24.01023591,24.01023591,28971.28255,24011073.36
659,2271,Edendale,Edendale,21,Rural settlement,2.91780567,2.91780567,8145.067645,2918066.696
660,2272,Wyndham,Wyndham,21,Rural settlement,2.94780468,2.94780468,7984.773639,2947867.819
661,2273,Oban,Oban,21,Rural settlement,2.5906109,2.5906109,16241.14811,2590739.801
662,2274,Other rural Gore District,Other rural Gore District,22,Rural other,1234.772171,1234.772171,277030.1389,1234765297
663,2275,Gore,Gore,14,Small urban area,13.76212629,13.76212629,26048.0531,13761590.76
664,2276,Mataura,Mataura,14,Small urban area,5.32047517,5.32047517,16466.17432,5320727.426
665,2278,Invercargill,Invercargill,12,Large urban area,60.69698962,60.69698962,61451.82049,60695888.85
666,2279,Kennington,Kennington,21,Rural settlement,1.16478884,1.16478884,5383.633072,1164603.992
667,2280,Other rural Invercargill City,Other rural Invercargill City,22,Rural other,317.9189303,317.9189303,267947.8962,317921691.8
668,2281,Bluff,Bluff,14,Small urban area,10.09864687,10.09864687,24977.62991,10098558.9
669,2282,Island Canterbury Region,Island Canterbury Region,22,Rural other,0.0814742,0.0814742,1427.156234,81511.57202
